Time (sec),Force X (N),Force Y (N),Force Z (N),Torque X (Nm),Torque Y (Nm),Torque Z (Nm),Forktip Pose X (m),Forktip Pose Y (m),Forktip Pose Z (m),Forktip Pose Roll (rad),Forktip Pose Pitch (rad),Forktip Pose Yaw (rad)
1637705117.2412536,2.5263662694056137,-2.1774245252549971,0.2818361628179158,0.0015190402615041956,0.0014547537415635747,-0.0002511558085709839,,,,,,
1637705117.2440317,,,,,,,-0.4131137597395643,0.10502214038948475,0.08413551093586724,1.4114515927998967,0.08394030222211177,-1.061602498740514
1637705117.251271,2.523175491166417,-2.0246262103226202,0.36674381912495235,0.0013082812380680146,0.0014232223377717416,-0.0002613244429437271,,,,,,
1637705117.2539527,,,,,,,-0.4144405429825646,0.11048316778079427,0.08676701816117505,1.403956914063101,0.07392674801162206,-1.0896829825327388
1637705117.2612712,2.5552599679433157,-1.8717811734816494,0.11500115876030392,0.0013043605168995571,0.0014539660092269461,-0.0002681035325255536,,,,,,
1637705117.2639217,,,,,,,-0.41531691762863426,0.11731535043367713,0.09073521750238467,1.37838541974702,0.07379357031168764,-1.1215497629689284
1637705117.2639494,,,,,,,-0.41729097811083216,0.12147559606170108,0.09108037623440945,1.3929524452956976,0.0675001059844586,-1.1464370937289634
1637705117.2713017,2.6448689265865482,-1.9755847923987147,-0.15152739062176757,0.0014372465064527739,0.0014563234963633816,-0.0002505908844391662,,,,,,
1637705117.2739596,,,,,,,-0.4188462076097323,0.1268851197143831,0.09302805004852888,1.3892807704795922,0.06057639893362725,-1.1734737030185012
1637705117.2811878,2.5414000773042797,-2.0744565178675183,0.13298531919876488,0.0014630833147576596,0.0013851343823047797,-0.00028053186342557115,,,,,,
1637705117.2840376,,,,,,,-0.4204427625705969,0.1322621046244401,0.0954027597064886,1.3841166862531669,0.050227000604813325,-1.1999409655505944
1637705117.2911813,2.4457845789416455,-2.028823053107712,-0.19069843114145435,0.0014190509836051121,0.0012214208458399989,-0.00024121314385097334,,,,,,
1637705117.2939796,,,,,,,-0.42178803490934613,0.13736862262842728,0.09797450154396847,1.3774214349479101,0.05394618022933834,-1.227207182139159
1637705117.301345,2.2790630201185165,-1.7752471728055601,-0.23869474356564346,0.0012931075444886247,0.0012492948336730917,-0.00026493995738736606,,,,,,
1637705117.3039467,,,,,,,-0.42371079287254254,0.1425468318366196,0.10022663303997736,1.3767682623267454,0.040190705175272616,-1.253062742613325
1637705117.3112211,2.1859239860673396,-1.706128373598802,-0.17188690146194574,0.0011034761791993289,0.0011592501962113335,-0.0002580478829791767,,,,,,
1637705117.314002,,,,,,,-0.42553561837478454,0.14898385903647907,0.10406178354037177,1.3646049845606851,0.035772604187707786,-1.2861930286948082
1637705117.3140662,,,,,,,-0.4267544717921135,0.1523986997346674,0.10622630873449912,1.3604633953099894,0.03056125849403749,-1.303956718158453
1637705117.3212364,2.1644769051523989,-1.7906664933181917,-0.5090887976276619,0.0011643647721953005,0.0011914035780520242,-0.0002339821149636885,,,,,,
1637705117.3239977,,,,,,,-0.4285041893079352,0.1570635138543289,0.10912655008794137,1.3534637178272415,0.02240201672840154,-1.3279693075161927
1637705117.3312702,2.2609314413125454,-1.7700957617193842,-0.16477419492197498,0.0012433592511905951,0.0012330971525695217,-0.00024279493142006364,,,,,,
1637705117.334163,,,,,,,-0.43012353984627094,0.16157425609062598,0.11238098373095196,1.3444402242627407,0.015866962658149436,-1.3510714137534596
1637705117.3412857,2.3089397535670608,-1.8379556114356375,-0.6125722278627261,0.0012286485571327411,0.0012353019478613927,-0.00021195007382274894,,,,,,
1637705117.3439963,,,,,,,-0.4317935847856816,0.16564103093170618,0.11575559613975472,1.3350722138777582,0.009090686263187727,-1.372054546125186
